n,distribution,time_ms,inserts,extracts,swaps,arrayAccesses,comparisons
10000,reversed,10.278,10000,5000,170440,1050140,229749
10000,sorted,5.600,10000,5000,58066,395337,128074
10000,reversed,9.777,10000,5000,170440,1050140,229749
10000,random,6.736,10000,5000,71078,473088,140947
100,random,0.550,100,50,333,2454,700
100,random,0.540,100,50,358,2601,719
100,random,0.569,100,50,383,2750,751
100,reversed,0.662,100,50,717,4577,979
1000,reversed,2.749,1000,500,11976,74606,16215
1000,sorted,1.804,1000,500,4121,29397,9414
1000,reversed,2.638,1000,500,11976,74606,16215
